"addr","balance"
0x8ac82f6db118aaa152081e087b6d8260f515ad74,106
0xc69caa8383703cc7635097804977395cc8fddf7b,52
0xdc8912d11d27ebd5baaaf09786d1abf1f86ae946,128
0xe5ec9c05b98ee03074d6a08785da6407c0f4a60d,96
0xf9fed9bf8dcec0f00d88c69f6a508489bb53b826,39
0xfa3c248b0af19a13cb5757112894f56aa08cc10b,116
0x24f3ca8138571ad2dfb1495d3cfbeaf9cdf479e5,125
0x2fbc3ef1906d098cbb34fca099095f9788570327,689
0x30ac4888b34b473c0981b39aca7e0af10b588fa8,81
0x33c8acd83c9f30c4e9955608910d4891dc557dd3,91
0x350ad574f0b986aa452a4bce162ace2f211d31e3,97
0x3f21bc3664b12daf8a633fd049419d843f8e340a,97
0x55bee16741b26a1c7e887c4c3ea07dac59390bef,42
0x64e5d1b81b1684110f14782f92a1df582fae2571,83
0x6d57e90aacd123516b0d3b55f81102710299ceb4,127
0x966fda6549029f5587c1385f61ce9b29fd709f38,43
0xb3b3135553c897691bbe08a1cfd8af1d9e2dbc59,38
0xd6038f901f1fd7f921d2cf6d00ee77c01f32cfee,44
0xef3d95039b7aca20e9d3c17c608f142f2eefbd71,44
0xf581a0d1706bcafefb94062e925633cdf8d1f57d,59
0x10cb6b5e7bd1b14d5d1423ff24f4bdfecea3d932,89
0x14ceb583287c3ef0912d03482291707a937988bf,94
0x1dc1f221a1b80d8a42e2ec882c15693aa08d04bb,35
0x228b33b206c41910219da05c373f51c48b911984,70
0x45c3427a8f699080563d86647f2d22c249bf38c9,200000000
0x6e9bcdc55edb17784c24e5752e20f1bc3d4f40b6,127
0x6ffc437b0a0624f12cc00b38ee0f5c75e728c055,70
0x8d9078d088d50d7c099a3d5a87280be756e318e6,82
0x9d8cf34bde9cfaa5332f8cec41f7920d849c7a91,44
0xb38f322ce4c55873f3507f4ab83a60f0d02661a8,108
0xcda0083cd10f28311088e64fd82d219c8d1402d8,148
0xe10332741c59CED2BA96db514a9eD865dDF99b6a,5967335
0xf2628a69c19a500a5cfb90e847d427adfe8c6a12,45
0xf349661423065e777e0611460fb9d6a4c8b8ac17,40
0x01f09decf08d797b53fc52ef54d299e911c679a7,38
0x068c02e9e9398b973d1ebbd2b8e2687978627849,45
0x12690526a92c9eae398fb18f665d422d277cc89a,50
